
2024/09/17 (12:54:36) | ===> btop++ v.1.3.2
2024/09/17 (12:54:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/17 (13:20:00) | ===> btop++ v.1.3.2
2024/09/17 (13:20:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/17 (14:32:20) | ===> btop++ v.1.3.2
2024/09/17 (14:32:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (17:05:32) | ===> btop++ v.1.3.2
2024/09/18 (17:05:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/18 (17:05:40) | ERROR: Stall in Runner thread, restarting!

2024/09/18 (17:05:46) | ===> btop++ v.1.3.2
2024/09/18 (17:05:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/18 (17:05:52) | ERROR: Stall in Runner thread, restarting!
2024/09/18 (17:05:58) | ERROR: Stall in Runner thread, restarting!
2024/09/18 (17:06:04) | ERROR: Stall in Runner thread, restarting!
2024/09/18 (17:06:10) | ERROR: Stall in Runner thread, restarting!
2024/09/18 (17:06:16) | ERROR: Stall in Runner thread, restarting!
2024/09/18 (17:06:22) | ERROR: Stall in Runner thread, restarting!
2024/09/18 (17:06:28) | ERROR: Stall in Runner thread, restarting!
2024/09/18 (17:06:34) | ERROR: Stall in Runner thread, restarting!
2024/09/18 (17:06:40) | ERROR: Stall in Runner thread, restarting!
2024/09/18 (17:06:46) | ERROR: Stall in Runner thread, restarting!

2024/09/18 (20:23:39) | ===> btop++ v.1.3.2
2024/09/18 (20:23:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (15:57:03) | ===> btop++ v.1.3.2
2024/09/21 (15:57:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/21 (15:57:11) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:57:17) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:57:23) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:57:29) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:57:35) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:57:41) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:57:47) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:57:53) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:57:59) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:58:05) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:58:11) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:58:17) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:58:23) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:58:29) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:58:35) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:58:41) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:58:47) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:58:53) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:58:59) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:59:05) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:59:11) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:59:17) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:59:23) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:59:29) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:59:35) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:59:41) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:59:47) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (15:59:53) | ERROR: Stall in Runner thread, restarting!
