7-zip-full 24.08-1
wget 1.25.0-1
wireless_tools 30.pre9-4
wireplumber 0.5.6-1
wlogout 1.2.2-0
wmctrl 1.07-6
wofi 1.4.1-1
xclip 0.13-6
xdg-desktop-portal-gnome 47.1-2
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xkbset 0.8-4
xorg-bdftopcf 1.1.2-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-sessreg 1.1.3-2
xorg-smproxy 1.0.7-2
xorg-x11perf 1.7.0-1
xorg-xbacklight 1.2.4-1
xorg-xclock 1.1.1-2
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.8-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.9-2
xorg-xinit 1.4.2-2
xorg-xinput 1.6.4-2
xorg-xkbevd 1.1.5-2
xorg-xkbprint 1.0.7-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xpr 1.2.0-1
xorg-xrandr 1.5.3-1
xorg-xrefresh 1.1.0-1
xorg-xvinfo 1.1.5-2
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
yay 12.4.2-1
yazi 0.3.3-1
yt-dlp 2024.11.18-1
ytfzf 2.6.2-1
zig 0.13.0-1
zoxide 0.9.6-1
zram-generator 1.1.2-1
zvbi 0.2.42-1
